ANO_CENSO|PK_COD_TURMA|NO_TURMA|HR_INICIAL|HR_INICIAL_MINUTO|NU_DURACAO_TURMA|NUM_MATRICULAS|FK_COD_MOD_ENSINO|FK_COD_ETAPA_ENSINO|FK_COD_CURSO_PROF|FK_COD_TIPO_TURMA|ID_MAIS_EDUCACAO|ID_DIA_SEMANA_DOMINGO|ID_DIA_SEMANA_SEGUNDA|ID_DIA_SEMANA_TERCA|ID_DIA_SEMANA_QUARTA|ID_DIA_SEMANA_QUINTA|ID_DIA_SEMANA_SEXTA|ID_DIA_SEMANA_SABADO|FK_COD_TIPO_ATIVIDADE_1|FK_COD_TIPO_ATIVIDADE_2|FK_COD_TIPO_ATIVIDADE_3|FK_COD_TIPO_ATIVIDADE_4|FK_COD_TIPO_ATIVIDADE_5|FK_COD_TIPO_ATIVIDADE_6|ID_BRAILLE|ID_RECURSOS_BAIXA_VISAO|ID_PROCESSOS_MENTAIS|ID_ORIENTACAO_MOBILIDADE|ID_SINAIS|ID_COM_ALT_AUMENT|ID_ENRIQ_CURRICULAR|ID_SOROBAN|ID_INF_ACESSIVEL|ID_PORT_ESC|ID_AUT_ESCOLAR|ID_QUIMICA|ID_FISICA|ID_MATEMATICA|ID_BIOLOGIA|ID_CIENCIAS|ID_LINGUA_LITERAT_PORTUGUESA|ID_LINGUA_LITERAT_INGLES|ID_LINGUA_LITERAT_ESPANHOL|ID_LINGUA_LITERAT_FRANCES|ID_LINGUA_LITERAT_OUTRA|ID_LINGUA_LITERAT_INDIGENA|ID_ARTES|ID_EDUCACAO_FISICA|ID_HISTORIA|ID_GEOGRAFIA|ID_FILOSOFIA|ID_ENSINO_RELIGIOSO|ID_ESTUDOS_SOCIAIS|ID_SOCIOLOGIA|ID_INFORMATICA_COMPUTACAO|ID_PROFISSIONALIZANTE|ID_DISC_ATENDIMENTO_ESPECIAIS|ID_DISC_DIVERSIDADE_SOCIO_CULT|ID_LIBRAS|ID_DISCIPLINAS_PEDAG|ID_OUTRAS_DISCIPLINAS|PK_COD_ENTIDADE|FK_COD_ESTADO|FK_COD_MUNICIPIO|FK_COD_DISTRITO|ID_LOCALIZACAO|ID_DEPENDENCIA_ADM|DESC_CATEGORIA_ESCOLA_PRIVADA|ID_CONVENIADA_PP|ID_TIPO_CONVENIO_PODER_PUBLICO|ID_MANT_ESCOLA_PRIVADA_EMP|ID_MANT_ESCOLA_PRIVADA_ONG|ID_MANT_ESCOLA_PRIVADA_SIND|ID_MANT_ESCOLA_PRIVADA_SIST_S|ID_MANT_ESCOLA_PRIVADA_S_FINS|ID_DOCUMENTO_REGULAMENTACAO|ID_LOCALIZACAO_DIFERENCIADA|ID_EDUCACAO_INDIGENA
2014|521460|INFANTIL IV|7|0|240|24|1|2||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23024038|23|2312007|20|1|3||||0|0|0|0|0|1|0|0
2014|829782|ACELERACAO DE ESTUDOS M|7|15|255|8|1|23||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|17041961|17|1703107|5|1|3||||0|0|0|0|0|1|0|0
2014|969847|151|13|30|240|31|1|18||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0|0|1|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|521096|INFANTIL V|7|0|240|21|1|2||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23024038|23|2312007|20|1|3||||0|0|0|0|0|1|0|0
2014|829781|ACELERACAO DE ESTUDOS V|13|15|255|6|1|23||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|17041961|17|1703107|5|1|3||||0|0|0|0|0|1|0|0
2014|970107|161|7|30|270|16|1|19||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|521056|PRE ESCOLA DAS VASSOURAS|7|0|240|8|1|2||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23024038|23|2312007|20|1|3||||0|0|0|0|0|1|0|0
2014|969697|162|7|30|270|20|1|19||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|521220|UNIFICADA MORRO DOS ROCHAS|7|0|240|17|1|3||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23024038|23|2312007|20|1|3||||0|0|0|0|0|1|0|0
2014|2864692|MAIS EDUCACAO - TURMA A|7|30|210|29||||4|1|0|1|1|1|1|1|0|15001|11002|22017|22023|31014||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25018132|25|2516201|5|1|2||||0|0|0|0|0|1|0|0
2014|1231152|171|7|30|270|22|1|20||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|970113|172|7|30|270|20|1|20||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|834661|MAIS EDUCACAO M|7|15|240|46||||4|1|0|1|1|1|1|0|0|14999|14001|31003||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17041961|17|1703107|5|1|3||||0|0|0|0|0|1|0|0
2014|1236175|181|7|30|270|27|1|21||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|2867191|MAIS EDUCACAO - TURMA B|7|30|210|29||||4|1|0|1|1|1|1|1|0|15001|11002|22017|22023|31014||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25018132|25|2516201|5|1|2||||0|0|0|0|0|1|0|0
2014|1236615|182|7|30|270|27|1|21||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|829766|MAIS EDUCACAO V|13|15|240|32||||4|1|0|1|1|1|1|0|0|14999|14001|31003||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17041961|17|1703107|5|1|3||||0|0|0|0|0|1|0|0
2014|970114|211|7|30|270|21|1|25||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|1|1|0|1|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|2864696|MAIS EDUCACAO - TURMA C|13|30|210|30||||4|1|0|1|1|1|1|1|0|11002|15001|22017|22023|31014||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25018132|25|2516201|5|1|2||||0|0|0|0|0|1|0|0
2014|969789|212|7|30|270|23|1|25||0||0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|1|1|0|1|0|0|0|0|0|0|0|42060532|42|4217204|5|1|4|1|0||1|0|0|0|1|1|0|0
2014|829765|PETI MATUTINO|7|30|210|13||||4|0|0|1|1|1|1|1|0|19999|31001|31002||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17041961|17|1703107|5|1|3||||0|0|0|0|0|1|0|0
